Adresse_Ort_Standort,Betten_insg
Dieburg,0
Hattersheim,0
Höchst,0
Dietzenbach,0
Bad Vilbel,0
Butzbach,0
Haiger,0
Melsungen,0
Wabern,0
Hessisch Lichtenau,0
Witzenhausen,0
Kelkheim,10
Bad Orb,15
Kiedrich,25
Breuberg,31
Gersfeld,34
Bad Camberg,64
Kaufungen,70
Volkmarsen,72
Viernheim,76
Wolfhagen,84
Lorsch,88
Lampertheim,96
Ehringshausen,97
Seeheim-Jugenheim,98
Usingen,100
Grebenhain,105
Bad Zwesten,105
Immenhausen,107
Biedenkopf,108
Idstein,109
Haina,112
Wesertal,115
Hadamar,120
Bad König,129
Nidda,129
Witzenhausen,129
Bensheim,134
Weilmünster,137
Leun,140
Groß-Gerau,145
Rüdesheim,145
Büdingen,148
Schotten,151
Bad Emstal,151
Alsfeld,153
Bad Endbach,168
Hessisch Lichtenau,170
Hünfeld,171
Fritzlar,173
Weilburg,181
Frankenberg,191
Eltville,194
Lauterbach,197
Hofheim,211
Korbach,249
Oberursel,252
Seligenstadt,253
Schlüchtern,262
Dillenburg,262
Braunfels,264
Lich,270
Hofgeismar,271
Königstein,275
Riedstadt,294
Herborn,304
Groß-Umstadt,318
Eschwege,320
Schwalmstadt,325
Erbach,329
Rotenburg,334
Friedberg,342
Langen,407
Bad Soden,409
Bad Arolsen,409
Rüsselsheim,427
Gelnhausen,443
Limburg,446
Heppenheim,464
Bad Homburg,581
Wetzlar,583
Bad Hersfeld,629
Bad Nauheim,685
Bad Wildungen,807
Hanau,964
Offenbach,1149
Fulda,1322
Marburg,1483
Darmstadt,1557
Wiesbaden,1839
Gießen,1972
Kassel,2757
Frankfurt,5205
